"","location","lat","long","alt","year","bloom_date","bloom_doy","species"
"1","kyoto",35.0119831,"135.6761135",44,1953,"1953-04-11",101,"Prunus jamasakura"
"2","kyoto",35.0119831,"135.6761135",44,1954,"1954-04-08",98,"Prunus jamasakura"
"3","kyoto",35.0119831,"135.6761135",44,1955,"1955-04-07",97,"Prunus jamasakura"
"4","kyoto",35.0119831,"135.6761135",44,1956,"1956-04-08",99,"Prunus jamasakura"
"5","kyoto",35.0119831,"135.6761135",44,1957,"1957-04-13",103,"Prunus jamasakura"
"6","kyoto",35.0119831,"135.6761135",44,1958,"1958-04-09",99,"Prunus jamasakura"
"7","kyoto",35.0119831,"135.6761135",44,1959,"1959-04-02",92,"Prunus jamasakura"
"8","kyoto",35.0119831,"135.6761135",44,1960,"1960-04-04",95,"Prunus jamasakura"
"9","kyoto",35.0119831,"135.6761135",44,1961,"1961-04-09",99,"Prunus jamasakura"
"10","kyoto",35.0119831,"135.6761135",44,1962,"1962-04-12",102,"Prunus jamasakura"
"11","kyoto",35.0119831,"135.6761135",44,1963,"1963-04-11",101,"Prunus jamasakura"
"12","kyoto",35.0119831,"135.6761135",44,1964,"1964-04-08",99,"Prunus jamasakura"
"13","kyoto",35.0119831,"135.6761135",44,1965,"1965-04-20",110,"Prunus jamasakura"
"14","kyoto",35.0119831,"135.6761135",44,1966,"1966-04-07",97,"Prunus jamasakura"
"15","kyoto",35.0119831,"135.6761135",44,1967,"1967-04-07",97,"Prunus jamasakura"
"16","kyoto",35.0119831,"135.6761135",44,1968,"1968-04-08",99,"Prunus jamasakura"
"17","kyoto",35.0119831,"135.6761135",44,1969,"1969-04-11",101,"Prunus jamasakura"
"18","kyoto",35.0119831,"135.6761135",44,1970,"1970-04-17",107,"Prunus jamasakura"
"19","kyoto",35.0119831,"135.6761135",44,1971,"1971-04-08",98,"Prunus jamasakura"
"20","kyoto",35.0119831,"135.6761135",44,1972,"1972-04-08",99,"Prunus jamasakura"
"21","kyoto",35.0119831,"135.6761135",44,1973,"1973-04-07",97,"Prunus jamasakura"
"22","kyoto",35.0119831,"135.6761135",44,1974,"1974-04-09",99,"Prunus jamasakura"
"23","kyoto",35.0119831,"135.6761135",44,1975,"1975-04-10",100,"Prunus jamasakura"
"24","kyoto",35.0119831,"135.6761135",44,1976,"1976-04-08",99,"Prunus jamasakura"
"25","kyoto",35.0119831,"135.6761135",44,1977,"1977-04-03",93,"Prunus jamasakura"
"26","kyoto",35.0119831,"135.6761135",44,1978,"1978-04-14",104,"Prunus jamasakura"
"27","kyoto",35.0119831,"135.6761135",44,1979,"1979-04-07",97,"Prunus jamasakura"
"28","kyoto",35.0119831,"135.6761135",44,1980,"1980-04-11",102,"Prunus jamasakura"
"29","kyoto",35.0119831,"135.6761135",44,1981,"1981-04-09",99,"Prunus jamasakura"
"30","kyoto",35.0119831,"135.6761135",44,1982,"1982-04-03",93,"Prunus jamasakura"
"31","kyoto",35.0119831,"135.6761135",44,1983,"1983-04-09",99,"Prunus jamasakura"
"32","kyoto",35.0119831,"135.6761135",44,1984,"1984-04-18",109,"Prunus jamasakura"
"33","kyoto",35.0119831,"135.6761135",44,1985,"1985-04-09",99,"Prunus jamasakura"
"34","kyoto",35.0119831,"135.6761135",44,1986,"1986-04-12",102,"Prunus jamasakura"
"35","kyoto",35.0119831,"135.6761135",44,1987,"1987-04-05",95,"Prunus jamasakura"
"36","kyoto",35.0119831,"135.6761135",44,1988,"1988-04-15",106,"Prunus jamasakura"
"37","kyoto",35.0119831,"135.6761135",44,1989,"1989-04-03",93,"Prunus jamasakura"
"38","kyoto",35.0119831,"135.6761135",44,1990,"1990-03-29",88,"Prunus jamasakura"
"39","kyoto",35.0119831,"135.6761135",44,1991,"1991-04-07",97,"Prunus jamasakura"
"40","kyoto",35.0119831,"135.6761135",44,1992,"1992-04-03",94,"Prunus jamasakura"
"41","kyoto",35.0119831,"135.6761135",44,1993,"1993-04-07",97,"Prunus jamasakura"
"42","kyoto",35.0119831,"135.6761135",44,1994,"1994-04-09",99,"Prunus jamasakura"
"43","kyoto",35.0119831,"135.6761135",44,1995,"1995-04-09",99,"Prunus jamasakura"
"44","kyoto",35.0119831,"135.6761135",44,1996,"1996-04-12",103,"Prunus jamasakura"
"45","kyoto",35.0119831,"135.6761135",44,1997,"1997-04-07",97,"Prunus jamasakura"
"46","kyoto",35.0119831,"135.6761135",44,1998,"1998-04-01",91,"Prunus jamasakura"
"47","kyoto",35.0119831,"135.6761135",44,1999,"1999-04-04",94,"Prunus jamasakura"
"48","kyoto",35.0119831,"135.6761135",44,2000,"2000-04-09",100,"Prunus jamasakura"
"49","kyoto",35.0119831,"135.6761135",44,2001,"2001-04-06",96,"Prunus jamasakura"
"50","kyoto",35.0119831,"135.6761135",44,2002,"2002-04-01",91,"Prunus jamasakura"
"51","kyoto",35.0119831,"135.6761135",44,2003,"2003-04-08",98,"Prunus jamasakura"
"52","kyoto",35.0119831,"135.6761135",44,2004,"2004-04-01",92,"Prunus jamasakura"
"53","kyoto",35.0119831,"135.6761135",44,2005,"2005-04-09",99,"Prunus jamasakura"
"54","kyoto",35.0119831,"135.6761135",44,2006,"2006-04-08",98,"Prunus jamasakura"
"55","kyoto",35.0119831,"135.6761135",44,2007,"2007-04-07",97,"Prunus jamasakura"
"56","kyoto",35.0119831,"135.6761135",44,2008,"2008-04-04",95,"Prunus jamasakura"
"57","kyoto",35.0119831,"135.6761135",44,2009,"2009-04-05",95,"Prunus jamasakura"
"58","kyoto",35.0119831,"135.6761135",44,2010,"2010-04-05",95,"Prunus jamasakura"
"59","kyoto",35.0119831,"135.6761135",44,2011,"2011-04-09",99,"Prunus jamasakura"
"60","kyoto",35.0119831,"135.6761135",44,2012,"2012-04-10",101,"Prunus jamasakura"
"61","kyoto",35.0119831,"135.6761135",44,2013,"2013-04-03",93,"Prunus jamasakura"
"62","kyoto",35.0119831,"135.6761135",44,2014,"2014-04-04",94,"Prunus jamasakura"
"63","kyoto",35.0119831,"135.6761135",44,2015,"2015-04-03",93,"Prunus jamasakura"
"64","kyoto",35.0119831,"135.6761135",44,2016,"2016-04-04",95,"Prunus jamasakura"
"65","kyoto",35.0119831,"135.6761135",44,2017,"2017-04-09",99,"Prunus jamasakura"
"66","kyoto",35.0119831,"135.6761135",44,2018,"2018-03-30",89,"Prunus jamasakura"
"67","kyoto",35.0119831,"135.6761135",44,2019,"2019-04-05",95,"Prunus jamasakura"
"68","kyoto",35.0119831,"135.6761135",44,2020,"2020-04-01",92,"Prunus jamasakura"
"69","kyoto",35.0119831,"135.6761135",44,2021,"2021-03-26",85,"Prunus jamasakura"
"70","kyoto",35.0119831,"135.6761135",44,2022,"2022-04-01",91,"Prunus jamasakura"
