"boostings","learning_rates","max_bins","min_data_in_leaf","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"dart",0.1,255,20,31,-1,45,0.494,0.825,0.252
"gbdt",0.1,255,20,31,-1,58,0.488,0.833,0.262
"dart",0.01,255,20,31,-1,11,0.65,0.78,0.399
"gbdt",0.01,255,20,31,-1,11,0.646,0.773,0.399
"dart",0.1,1800,20,31,-1,47,0.497,0.822,0.256
"gbdt",0.1,1800,20,31,-1,53,0.475,0.842,0.241
"dart",0.01,1800,20,31,-1,11,0.651,0.77,0.399
"gbdt",0.01,1800,20,31,-1,11,0.646,0.771,0.399
"dart",0.1,500,20,31,-1,27,0.516,0.818,0.262
"gbdt",0.1,500,20,31,-1,62,0.471,0.844,0.242
"dart",0.01,500,20,31,-1,11,0.65,0.786,0.399
"gbdt",0.01,500,20,31,-1,11,0.647,0.768,0.399
"dart",0.1,125,20,31,-1,34,0.506,0.821,0.266
"gbdt",0.1,125,20,31,-1,42,0.492,0.827,0.26
"dart",0.01,125,20,31,-1,11,0.65,0.781,0.399
"gbdt",0.01,125,20,31,-1,11,0.646,0.775,0.399
"dart",0.1,255,40,31,-1,43,0.505,0.817,0.264
"gbdt",0.1,255,40,31,-1,37,0.487,0.825,0.263
"dart",0.01,255,40,31,-1,11,0.654,0.77,0.399
"gbdt",0.01,255,40,31,-1,11,0.65,0.76,0.399
"dart",0.1,1800,40,31,-1,47,0.497,0.822,0.258
"gbdt",0.1,1800,40,31,-1,39,0.486,0.828,0.263
"dart",0.01,1800,40,31,-1,11,0.652,0.777,0.399
"gbdt",0.01,1800,40,31,-1,11,0.648,0.772,0.399
"dart",0.1,500,40,31,-1,47,0.5,0.818,0.267
"gbdt",0.1,500,40,31,-1,41,0.479,0.831,0.248
"dart",0.01,500,40,31,-1,11,0.652,0.77,0.399
"gbdt",0.01,500,40,31,-1,11,0.648,0.773,0.399
"dart",0.1,125,40,31,-1,57,0.494,0.826,0.255
"gbdt",0.1,125,40,31,-1,62,0.482,0.833,0.255
"dart",0.01,125,40,31,-1,11,0.652,0.769,0.399
"gbdt",0.01,125,40,31,-1,11,0.648,0.772,0.399
"dart",0.1,255,10,31,-1,47,0.483,0.833,0.262
"gbdt",0.1,255,10,31,-1,28,0.478,0.833,0.26
"dart",0.01,255,10,31,-1,11,0.649,0.781,0.399
"gbdt",0.01,255,10,31,-1,11,0.645,0.777,0.399
"dart",0.1,1800,10,31,-1,47,0.486,0.834,0.255
"gbdt",0.1,1800,10,31,-1,43,0.475,0.837,0.256
"dart",0.01,1800,10,31,-1,11,0.649,0.773,0.399
"gbdt",0.01,1800,10,31,-1,11,0.645,0.777,0.399
"dart",0.1,500,10,31,-1,31,0.508,0.82,0.267
"gbdt",0.1,500,10,31,-1,35,0.473,0.841,0.239
"dart",0.01,500,10,31,-1,11,0.649,0.775,0.399
"gbdt",0.01,500,10,31,-1,11,0.645,0.788,0.399
"dart",0.1,125,10,31,-1,47,0.495,0.821,0.268
"gbdt",0.1,125,10,31,-1,43,0.48,0.837,0.255
"dart",0.01,125,10,31,-1,11,0.649,0.781,0.399
"gbdt",0.01,125,10,31,-1,11,0.643,0.792,0.399
"dart",0.1,255,20,60,-1,76,0.486,0.829,0.254
"gbdt",0.1,255,20,60,-1,26,0.496,0.824,0.263
"dart",0.01,255,20,60,-1,11,0.65,0.772,0.399
"gbdt",0.01,255,20,60,-1,11,0.645,0.782,0.399
"dart",0.1,1800,20,60,-1,54,0.498,0.819,0.26
"gbdt",0.1,1800,20,60,-1,44,0.489,0.834,0.257
"dart",0.01,1800,20,60,-1,11,0.65,0.77,0.399
"gbdt",0.01,1800,20,60,-1,11,0.646,0.766,0.399
"dart",0.1,500,20,60,-1,34,0.504,0.82,0.276
"gbdt",0.1,500,20,60,-1,36,0.49,0.83,0.256
"dart",0.01,500,20,60,-1,11,0.65,0.764,0.399
"gbdt",0.01,500,20,60,-1,11,0.643,0.787,0.399
"dart",0.1,125,20,60,-1,54,0.485,0.832,0.253
"gbdt",0.1,125,20,60,-1,46,0.486,0.839,0.253
"dart",0.01,125,20,60,-1,11,0.65,0.783,0.399
"gbdt",0.01,125,20,60,-1,11,0.645,0.778,0.399
"dart",0.1,255,40,60,-1,44,0.506,0.814,0.268
"gbdt",0.1,255,40,60,-1,31,0.49,0.821,0.263
"dart",0.01,255,40,60,-1,11,0.652,0.775,0.399
"gbdt",0.01,255,40,60,-1,11,0.649,0.761,0.399
"dart",0.1,1800,40,60,-1,45,0.499,0.821,0.272
"gbdt",0.1,1800,40,60,-1,43,0.478,0.836,0.248
"dart",0.01,1800,40,60,-1,11,0.653,0.768,0.399
"gbdt",0.01,1800,40,60,-1,11,0.648,0.782,0.399
"dart",0.1,500,40,60,-1,54,0.5,0.822,0.262
"gbdt",0.1,500,40,60,-1,34,0.485,0.824,0.263
"dart",0.01,500,40,60,-1,11,0.653,0.772,0.399
"gbdt",0.01,500,40,60,-1,11,0.648,0.777,0.399
"dart",0.1,125,40,60,-1,58,0.488,0.828,0.254
"gbdt",0.1,125,40,60,-1,47,0.487,0.827,0.256
"dart",0.01,125,40,60,-1,11,0.652,0.771,0.399
"gbdt",0.01,125,40,60,-1,11,0.649,0.771,0.399
"dart",0.1,255,10,60,-1,18,0.507,0.822,0.26
"gbdt",0.1,255,10,60,-1,29,0.473,0.844,0.247
"dart",0.01,255,10,60,-1,11,0.647,0.791,0.399
"gbdt",0.01,255,10,60,-1,11,0.643,0.782,0.399
"dart",0.1,1800,10,60,-1,47,0.48,0.837,0.26
"gbdt",0.1,1800,10,60,-1,28,0.483,0.836,0.254
"dart",0.01,1800,10,60,-1,11,0.649,0.783,0.399
"gbdt",0.01,1800,10,60,-1,11,0.642,0.783,0.399
"dart",0.1,500,10,60,-1,27,0.516,0.813,0.27
"gbdt",0.1,500,10,60,-1,31,0.481,0.84,0.258
"dart",0.01,500,10,60,-1,11,0.647,0.785,0.399
"gbdt",0.01,500,10,60,-1,11,0.641,0.787,0.399
"dart",0.1,125,10,60,-1,47,0.491,0.827,0.262
"gbdt",0.1,125,10,60,-1,30,0.489,0.832,0.258
"dart",0.01,125,10,60,-1,11,0.648,0.783,0.399
"gbdt",0.01,125,10,60,-1,11,0.641,0.789,0.399
"dart",0.1,255,20,100,-1,50,0.489,0.83,0.252
"gbdt",0.1,255,20,100,-1,39,0.484,0.832,0.243
"dart",0.01,255,20,100,-1,11,0.648,0.787,0.399
"gbdt",0.01,255,20,100,-1,11,0.645,0.776,0.399
"dart",0.1,1800,20,100,-1,34,0.503,0.823,0.266
"gbdt",0.1,1800,20,100,-1,42,0.488,0.833,0.252
"dart",0.01,1800,20,100,-1,11,0.649,0.793,0.399
"gbdt",0.01,1800,20,100,-1,11,0.644,0.781,0.399
"dart",0.1,500,20,100,-1,36,0.509,0.812,0.278
"gbdt",0.1,500,20,100,-1,43,0.474,0.843,0.25
"dart",0.01,500,20,100,-1,11,0.65,0.778,0.399
"gbdt",0.01,500,20,100,-1,11,0.645,0.784,0.399
"dart",0.1,125,20,100,-1,58,0.495,0.821,0.264
"gbdt",0.1,125,20,100,-1,40,0.49,0.832,0.258
"dart",0.01,125,20,100,-1,11,0.65,0.767,0.399
"gbdt",0.01,125,20,100,-1,11,0.645,0.775,0.399
"dart",0.1,255,40,100,-1,58,0.497,0.815,0.264
"gbdt",0.1,255,40,100,-1,43,0.48,0.832,0.246
"dart",0.01,255,40,100,-1,11,0.653,0.765,0.399
"gbdt",0.01,255,40,100,-1,11,0.649,0.767,0.399
"dart",0.1,1800,40,100,-1,45,0.502,0.817,0.277
"gbdt",0.1,1800,40,100,-1,59,0.481,0.834,0.253
"dart",0.01,1800,40,100,-1,11,0.652,0.775,0.399
"gbdt",0.01,1800,40,100,-1,11,0.648,0.775,0.399
"dart",0.1,500,40,100,-1,56,0.498,0.822,0.264
"gbdt",0.1,500,40,100,-1,42,0.486,0.829,0.264
"dart",0.01,500,40,100,-1,11,0.652,0.778,0.399
"gbdt",0.01,500,40,100,-1,11,0.648,0.774,0.399
"dart",0.1,125,40,100,-1,47,0.5,0.82,0.263
"gbdt",0.1,125,40,100,-1,38,0.484,0.827,0.255
"dart",0.01,125,40,100,-1,11,0.652,0.77,0.399
"gbdt",0.01,125,40,100,-1,11,0.649,0.772,0.399
"dart",0.1,255,10,100,-1,44,0.501,0.823,0.271
"gbdt",0.1,255,10,100,-1,29,0.481,0.842,0.252
"dart",0.01,255,10,100,-1,11,0.647,0.775,0.399
"gbdt",0.01,255,10,100,-1,11,0.641,0.786,0.399
"dart",0.1,1800,10,100,-1,40,0.491,0.829,0.262
"gbdt",0.1,1800,10,100,-1,29,0.485,0.837,0.258
"dart",0.01,1800,10,100,-1,11,0.647,0.782,0.399
"gbdt",0.01,1800,10,100,-1,11,0.64,0.786,0.399
"dart",0.1,500,10,100,-1,34,0.487,0.834,0.257
"gbdt",0.1,500,10,100,-1,27,0.491,0.834,0.263
"dart",0.01,500,10,100,-1,11,0.646,0.777,0.399
"gbdt",0.01,500,10,100,-1,11,0.639,0.792,0.399
"dart",0.1,125,10,100,-1,47,0.478,0.842,0.243
"gbdt",0.1,125,10,100,-1,25,0.482,0.835,0.25
"dart",0.01,125,10,100,-1,11,0.646,0.783,0.399
"gbdt",0.01,125,10,100,-1,11,0.642,0.775,0.399
"dart",0.1,255,20,31,10,27,0.519,0.811,0.27
"gbdt",0.1,255,20,31,10,47,0.483,0.834,0.255
"dart",0.01,255,20,31,10,11,0.65,0.771,0.399
"gbdt",0.01,255,20,31,10,11,0.645,0.791,0.399
"dart",0.1,1800,20,31,10,73,0.492,0.824,0.266
"gbdt",0.1,1800,20,31,10,51,0.485,0.833,0.257
"dart",0.01,1800,20,31,10,11,0.65,0.78,0.399
"gbdt",0.01,1800,20,31,10,11,0.645,0.787,0.399
"dart",0.1,500,20,31,10,18,0.519,0.815,0.264
"gbdt",0.1,500,20,31,10,37,0.481,0.833,0.257
"dart",0.01,500,20,31,10,11,0.65,0.78,0.399
"gbdt",0.01,500,20,31,10,11,0.646,0.772,0.399
"dart",0.1,125,20,31,10,34,0.511,0.815,0.27
"gbdt",0.1,125,20,31,10,48,0.479,0.834,0.254
"dart",0.01,125,20,31,10,11,0.651,0.771,0.399
"gbdt",0.01,125,20,31,10,11,0.646,0.782,0.399
"dart",0.1,255,40,31,10,31,0.519,0.812,0.272
"gbdt",0.1,255,40,31,10,37,0.488,0.822,0.258
"dart",0.01,255,40,31,10,11,0.653,0.771,0.399
"gbdt",0.01,255,40,31,10,11,0.649,0.774,0.399
"dart",0.1,1800,40,31,10,47,0.5,0.822,0.267
"gbdt",0.1,1800,40,31,10,49,0.486,0.826,0.256
"dart",0.01,1800,40,31,10,11,0.652,0.772,0.399
"gbdt",0.01,1800,40,31,10,11,0.647,0.776,0.399
"dart",0.1,500,40,31,10,58,0.497,0.816,0.267
"gbdt",0.1,500,40,31,10,40,0.483,0.829,0.262
"dart",0.01,500,40,31,10,11,0.652,0.781,0.399
"gbdt",0.01,500,40,31,10,11,0.649,0.768,0.399
"dart",0.1,125,40,31,10,58,0.495,0.821,0.259
"gbdt",0.1,125,40,31,10,43,0.48,0.832,0.254
"dart",0.01,125,40,31,10,11,0.653,0.767,0.399
"gbdt",0.01,125,40,31,10,11,0.65,0.762,0.399
"dart",0.1,255,10,31,10,36,0.493,0.83,0.258
"gbdt",0.1,255,10,31,10,42,0.48,0.835,0.254
"dart",0.01,255,10,31,10,11,0.648,0.786,0.399
"gbdt",0.01,255,10,31,10,11,0.645,0.775,0.399
"dart",0.1,1800,10,31,10,31,0.504,0.827,0.27
"gbdt",0.1,1800,10,31,10,35,0.477,0.837,0.251
"dart",0.01,1800,10,31,10,11,0.649,0.783,0.399
"gbdt",0.01,1800,10,31,10,11,0.645,0.78,0.399
"dart",0.1,500,10,31,10,68,0.479,0.836,0.26
"gbdt",0.1,500,10,31,10,34,0.489,0.828,0.263
"dart",0.01,500,10,31,10,11,0.651,0.768,0.399
"gbdt",0.01,500,10,31,10,11,0.645,0.782,0.399
"dart",0.1,125,10,31,10,40,0.505,0.816,0.271
"gbdt",0.1,125,10,31,10,31,0.477,0.834,0.257
"dart",0.01,125,10,31,10,11,0.65,0.768,0.399
"gbdt",0.01,125,10,31,10,11,0.645,0.781,0.399
"dart",0.1,255,20,60,10,43,0.503,0.817,0.263
"gbdt",0.1,255,20,60,10,33,0.485,0.828,0.262
"dart",0.01,255,20,60,10,11,0.65,0.768,0.399
"gbdt",0.01,255,20,60,10,11,0.644,0.782,0.399
"dart",0.1,1800,20,60,10,35,0.51,0.812,0.273
"gbdt",0.1,1800,20,60,10,49,0.48,0.835,0.259
"dart",0.01,1800,20,60,10,11,0.65,0.776,0.399
"gbdt",0.01,1800,20,60,10,11,0.644,0.788,0.399
"dart",0.1,500,20,60,10,45,0.492,0.824,0.267
"gbdt",0.1,500,20,60,10,42,0.487,0.831,0.262
"dart",0.01,500,20,60,10,11,0.65,0.769,0.399
"gbdt",0.01,500,20,60,10,11,0.645,0.775,0.399
"dart",0.1,125,20,60,10,55,0.495,0.822,0.27
"gbdt",0.1,125,20,60,10,42,0.478,0.838,0.255
"dart",0.01,125,20,60,10,11,0.65,0.773,0.399
"gbdt",0.01,125,20,60,10,11,0.645,0.781,0.399
"dart",0.1,255,40,60,10,35,0.513,0.813,0.268
"gbdt",0.1,255,40,60,10,46,0.477,0.833,0.255
"dart",0.01,255,40,60,10,11,0.652,0.77,0.399
"gbdt",0.01,255,40,60,10,11,0.649,0.769,0.399
"dart",0.1,1800,40,60,10,45,0.506,0.811,0.272
"gbdt",0.1,1800,40,60,10,39,0.486,0.826,0.253
"dart",0.01,1800,40,60,10,11,0.652,0.774,0.399
"gbdt",0.01,1800,40,60,10,11,0.647,0.785,0.399
"dart",0.1,500,40,60,10,34,0.515,0.814,0.268
"gbdt",0.1,500,40,60,10,34,0.493,0.818,0.264
"dart",0.01,500,40,60,10,11,0.653,0.765,0.399
"gbdt",0.01,500,40,60,10,11,0.648,0.765,0.399
"dart",0.1,125,40,60,10,34,0.516,0.814,0.27
"gbdt",0.1,125,40,60,10,39,0.486,0.827,0.258
"dart",0.01,125,40,60,10,11,0.652,0.778,0.399
"gbdt",0.01,125,40,60,10,11,0.649,0.768,0.399
"dart",0.1,255,10,60,10,40,0.489,0.829,0.255
"gbdt",0.1,255,10,60,10,37,0.472,0.844,0.247
"dart",0.01,255,10,60,10,11,0.647,0.789,0.399
"gbdt",0.01,255,10,60,10,11,0.641,0.791,0.399
"dart",0.1,1800,10,60,10,33,0.505,0.824,0.262
"gbdt",0.1,1800,10,60,10,38,0.481,0.837,0.255
"dart",0.01,1800,10,60,10,11,0.648,0.775,0.399
"gbdt",0.01,1800,10,60,10,11,0.642,0.795,0.399
"dart",0.1,500,10,60,10,27,0.508,0.818,0.275
"gbdt",0.1,500,10,60,10,35,0.469,0.842,0.247
"dart",0.01,500,10,60,10,11,0.648,0.771,0.399
"gbdt",0.01,500,10,60,10,11,0.641,0.788,0.399
"dart",0.1,125,10,60,10,44,0.488,0.827,0.26
"gbdt",0.1,125,10,60,10,30,0.496,0.823,0.271
"dart",0.01,125,10,60,10,11,0.648,0.772,0.399
"gbdt",0.01,125,10,60,10,11,0.641,0.789,0.399
"dart",0.1,255,20,100,10,60,0.489,0.825,0.255
"gbdt",0.1,255,20,100,10,47,0.478,0.842,0.246
"dart",0.01,255,20,100,10,11,0.65,0.778,0.399
"gbdt",0.01,255,20,100,10,11,0.644,0.789,0.399
"dart",0.1,1800,20,100,10,47,0.495,0.824,0.27
"gbdt",0.1,1800,20,100,10,33,0.495,0.818,0.274
"dart",0.01,1800,20,100,10,11,0.649,0.782,0.399
"gbdt",0.01,1800,20,100,10,11,0.644,0.784,0.399
"dart",0.1,500,20,100,10,27,0.516,0.816,0.271
"gbdt",0.1,500,20,100,10,41,0.485,0.836,0.251
"dart",0.01,500,20,100,10,11,0.65,0.776,0.399
"gbdt",0.01,500,20,100,10,11,0.644,0.784,0.399
"dart",0.1,125,20,100,10,77,0.481,0.83,0.257
"gbdt",0.1,125,20,100,10,32,0.487,0.826,0.264
"dart",0.01,125,20,100,10,11,0.651,0.773,0.399
"gbdt",0.01,125,20,100,10,11,0.644,0.778,0.399
"dart",0.1,255,40,100,10,34,0.518,0.811,0.28
"gbdt",0.1,255,40,100,10,47,0.488,0.826,0.256
"dart",0.01,255,40,100,10,11,0.653,0.76,0.399
"gbdt",0.01,255,40,100,10,11,0.647,0.777,0.399
"dart",0.1,1800,40,100,10,47,0.498,0.82,0.25
"gbdt",0.1,1800,40,100,10,36,0.486,0.827,0.262
"dart",0.01,1800,40,100,10,11,0.652,0.773,0.399
"gbdt",0.01,1800,40,100,10,11,0.648,0.771,0.399
"dart",0.1,500,40,100,10,47,0.502,0.817,0.263
"gbdt",0.1,500,40,100,10,38,0.486,0.826,0.254
"dart",0.01,500,40,100,10,11,0.652,0.781,0.399
"gbdt",0.01,500,40,100,10,11,0.649,0.773,0.399
"dart",0.1,125,40,100,10,50,0.498,0.821,0.262
"gbdt",0.1,125,40,100,10,52,0.489,0.826,0.257
"dart",0.01,125,40,100,10,11,0.653,0.763,0.399
"gbdt",0.01,125,40,100,10,11,0.648,0.767,0.399
"dart",0.1,255,10,100,10,52,0.489,0.831,0.254
"gbdt",0.1,255,10,100,10,37,0.481,0.836,0.255
"dart",0.01,255,10,100,10,11,0.646,0.8,0.399
"gbdt",0.01,255,10,100,10,11,0.642,0.778,0.399
"dart",0.1,1800,10,100,10,31,0.496,0.831,0.262
"gbdt",0.1,1800,10,100,10,30,0.484,0.833,0.257
"dart",0.01,1800,10,100,10,11,0.647,0.779,0.399
"gbdt",0.01,1800,10,100,10,11,0.643,0.776,0.399
"dart",0.1,500,10,100,10,50,0.491,0.828,0.266
"gbdt",0.1,500,10,100,10,30,0.471,0.842,0.251
"dart",0.01,500,10,100,10,11,0.646,0.786,0.399
"gbdt",0.01,500,10,100,10,11,0.643,0.78,0.399
"dart",0.1,125,10,100,10,71,0.461,0.851,0.238
"gbdt",0.1,125,10,100,10,33,0.476,0.84,0.255
"dart",0.01,125,10,100,10,11,0.647,0.775,0.399
"gbdt",0.01,125,10,100,10,11,0.642,0.786,0.399
"dart",0.1,255,20,31,30,47,0.497,0.819,0.273
"gbdt",0.1,255,20,31,30,39,0.488,0.826,0.254
"dart",0.01,255,20,31,30,11,0.651,0.779,0.399
"gbdt",0.01,255,20,31,30,11,0.645,0.781,0.399
"dart",0.1,1800,20,31,30,45,0.501,0.815,0.262
"gbdt",0.1,1800,20,31,30,47,0.485,0.829,0.259
"dart",0.01,1800,20,31,30,11,0.651,0.765,0.399
"gbdt",0.01,1800,20,31,30,11,0.646,0.776,0.399
"dart",0.1,500,20,31,30,50,0.498,0.818,0.263
"gbdt",0.1,500,20,31,30,46,0.477,0.838,0.252
"dart",0.01,500,20,31,30,11,0.65,0.78,0.399
"gbdt",0.01,500,20,31,30,11,0.646,0.772,0.399
"dart",0.1,125,20,31,30,40,0.504,0.816,0.273
"gbdt",0.1,125,20,31,30,38,0.483,0.831,0.262
"dart",0.01,125,20,31,30,11,0.649,0.787,0.399
"gbdt",0.01,125,20,31,30,11,0.646,0.766,0.399
"dart",0.1,255,40,31,30,40,0.507,0.815,0.273
"gbdt",0.1,255,40,31,30,45,0.485,0.826,0.267
"dart",0.01,255,40,31,30,11,0.653,0.773,0.399
"gbdt",0.01,255,40,31,30,11,0.649,0.764,0.399
"dart",0.1,1800,40,31,30,47,0.504,0.814,0.262
"gbdt",0.1,1800,40,31,30,37,0.49,0.822,0.257
"dart",0.01,1800,40,31,30,11,0.653,0.77,0.399
"gbdt",0.01,1800,40,31,30,11,0.648,0.775,0.399
"dart",0.1,500,40,31,30,47,0.499,0.819,0.264
"gbdt",0.1,500,40,31,30,38,0.492,0.82,0.262
"dart",0.01,500,40,31,30,11,0.653,0.773,0.399
"gbdt",0.01,500,40,31,30,11,0.649,0.772,0.399
"dart",0.1,125,40,31,30,57,0.501,0.818,0.269
"gbdt",0.1,125,40,31,30,52,0.484,0.83,0.254
"dart",0.01,125,40,31,30,11,0.653,0.774,0.399
"gbdt",0.01,125,40,31,30,11,0.648,0.772,0.399
"dart",0.1,255,10,31,30,45,0.483,0.834,0.251
"gbdt",0.1,255,10,31,30,38,0.47,0.844,0.242
"dart",0.01,255,10,31,30,11,0.65,0.783,0.399
"gbdt",0.01,255,10,31,30,11,0.644,0.778,0.399
"dart",0.1,1800,10,31,30,19,0.511,0.819,0.257
"gbdt",0.1,1800,10,31,30,39,0.473,0.839,0.251
"dart",0.01,1800,10,31,30,11,0.65,0.77,0.399
"gbdt",0.01,1800,10,31,30,11,0.645,0.781,0.399
"dart",0.1,500,10,31,30,50,0.484,0.832,0.248
"gbdt",0.1,500,10,31,30,45,0.469,0.844,0.255
"dart",0.01,500,10,31,30,11,0.649,0.789,0.399
"gbdt",0.01,500,10,31,30,11,0.644,0.784,0.399
"dart",0.1,125,10,31,30,36,0.497,0.828,0.258
"gbdt",0.1,125,10,31,30,31,0.484,0.83,0.256
"dart",0.01,125,10,31,30,11,0.649,0.782,0.399
"gbdt",0.01,125,10,31,30,11,0.645,0.772,0.399
"dart",0.1,255,20,60,30,34,0.506,0.821,0.266
"gbdt",0.1,255,20,60,30,22,0.499,0.821,0.276
"dart",0.01,255,20,60,30,11,0.65,0.776,0.399
"gbdt",0.01,255,20,60,30,11,0.645,0.78,0.399
"dart",0.1,1800,20,60,30,18,0.518,0.815,0.274
"gbdt",0.1,1800,20,60,30,47,0.486,0.838,0.249
"dart",0.01,1800,20,60,30,11,0.65,0.769,0.399
"gbdt",0.01,1800,20,60,30,11,0.646,0.771,0.399
"dart",0.1,500,20,60,30,59,0.497,0.817,0.265
"gbdt",0.1,500,20,60,30,40,0.489,0.832,0.261
"dart",0.01,500,20,60,30,11,0.65,0.771,0.399
"gbdt",0.01,500,20,60,30,11,0.644,0.784,0.399
"dart",0.1,125,20,60,30,77,0.488,0.827,0.251
"gbdt",0.1,125,20,60,30,34,0.492,0.828,0.256
"dart",0.01,125,20,60,30,11,0.651,0.764,0.399
"gbdt",0.01,125,20,60,30,11,0.644,0.783,0.399
"dart",0.1,255,40,60,30,33,0.524,0.805,0.282
"gbdt",0.1,255,40,60,30,37,0.487,0.825,0.253
"dart",0.01,255,40,60,30,11,0.653,0.766,0.399
"gbdt",0.01,255,40,60,30,11,0.648,0.777,0.399
"dart",0.1,1800,40,60,30,36,0.51,0.813,0.263
"gbdt",0.1,1800,40,60,30,41,0.483,0.827,0.257
"dart",0.01,1800,40,60,30,11,0.652,0.776,0.399
"gbdt",0.01,1800,40,60,30,11,0.648,0.778,0.399
"dart",0.1,500,40,60,30,58,0.495,0.823,0.262
"gbdt",0.1,500,40,60,30,51,0.48,0.834,0.25
"dart",0.01,500,40,60,30,11,0.653,0.767,0.399
"gbdt",0.01,500,40,60,30,11,0.648,0.774,0.399
"dart",0.1,125,40,60,30,60,0.496,0.818,0.262
"gbdt",0.1,125,40,60,30,47,0.491,0.826,0.259
"dart",0.01,125,40,60,30,11,0.652,0.773,0.399
"gbdt",0.01,125,40,60,30,11,0.648,0.769,0.399
"dart",0.1,255,10,60,30,50,0.481,0.838,0.252
"gbdt",0.1,255,10,60,30,30,0.481,0.838,0.251
"dart",0.01,255,10,60,30,11,0.647,0.777,0.399
"gbdt",0.01,255,10,60,30,11,0.642,0.787,0.399
"dart",0.1,1800,10,60,30,36,0.486,0.84,0.258
"gbdt",0.1,1800,10,60,30,36,0.475,0.844,0.252
"dart",0.01,1800,10,60,30,11,0.646,0.792,0.399
"gbdt",0.01,1800,10,60,30,11,0.643,0.776,0.399
"dart",0.1,500,10,60,30,54,0.487,0.831,0.262
"gbdt",0.1,500,10,60,30,31,0.484,0.837,0.249
"dart",0.01,500,10,60,30,11,0.648,0.782,0.399
"gbdt",0.01,500,10,60,30,11,0.643,0.769,0.399
"dart",0.1,125,10,60,30,55,0.477,0.837,0.255
"gbdt",0.1,125,10,60,30,33,0.48,0.836,0.255
"dart",0.01,125,10,60,30,11,0.647,0.786,0.399
"gbdt",0.01,125,10,60,30,11,0.642,0.791,0.399
"dart",0.1,255,20,100,30,60,0.491,0.827,0.259
"gbdt",0.1,255,20,100,30,29,0.488,0.828,0.255
"dart",0.01,255,20,100,30,11,0.649,0.782,0.399
"gbdt",0.01,255,20,100,30,11,0.645,0.778,0.399
"dart",0.1,1800,20,100,30,50,0.49,0.828,0.252
"gbdt",0.1,1800,20,100,30,37,0.49,0.828,0.257
"dart",0.01,1800,20,100,30,11,0.65,0.782,0.399
"gbdt",0.01,1800,20,100,30,11,0.644,0.782,0.399
"dart",0.1,500,20,100,30,47,0.498,0.822,0.263
"gbdt",0.1,500,20,100,30,42,0.481,0.838,0.253
"dart",0.01,500,20,100,30,11,0.649,0.782,0.399
"gbdt",0.01,500,20,100,30,11,0.644,0.774,0.399
"dart",0.1,125,20,100,30,79,0.486,0.834,0.26
"gbdt",0.1,125,20,100,30,39,0.487,0.834,0.247
"dart",0.01,125,20,100,30,11,0.651,0.764,0.399
"gbdt",0.01,125,20,100,30,11,0.644,0.782,0.399
"dart",0.1,255,40,100,30,73,0.489,0.827,0.259
"gbdt",0.1,255,40,100,30,35,0.491,0.822,0.265
"dart",0.01,255,40,100,30,11,0.654,0.762,0.399
"gbdt",0.01,255,40,100,30,11,0.647,0.786,0.399
"dart",0.1,1800,40,100,30,77,0.485,0.829,0.256
"gbdt",0.1,1800,40,100,30,42,0.491,0.82,0.263
"dart",0.01,1800,40,100,30,11,0.653,0.769,0.399
"gbdt",0.01,1800,40,100,30,11,0.65,0.77,0.399
"dart",0.1,500,40,100,30,47,0.501,0.818,0.276
"gbdt",0.1,500,40,100,30,25,0.5,0.813,0.281
"dart",0.01,500,40,100,30,11,0.653,0.767,0.399
"gbdt",0.01,500,40,100,30,11,0.648,0.772,0.399
"dart",0.1,125,40,100,30,58,0.5,0.814,0.261
"gbdt",0.1,125,40,100,30,35,0.494,0.82,0.268
"dart",0.01,125,40,100,30,11,0.653,0.76,0.399
"gbdt",0.01,125,40,100,30,11,0.649,0.774,0.399
"dart",0.1,255,10,100,30,18,0.504,0.824,0.265
"gbdt",0.1,255,10,100,30,27,0.483,0.836,0.257
"dart",0.01,255,10,100,30,11,0.649,0.767,0.399
"gbdt",0.01,255,10,100,30,11,0.642,0.776,0.399
"dart",0.1,1800,10,100,30,35,0.503,0.821,0.26
"gbdt",0.1,1800,10,100,30,28,0.494,0.833,0.252
"dart",0.01,1800,10,100,30,11,0.647,0.769,0.399
"gbdt",0.01,1800,10,100,30,11,0.642,0.781,0.399
"dart",0.1,500,10,100,30,27,0.504,0.825,0.267
"gbdt",0.1,500,10,100,30,27,0.49,0.834,0.262
"dart",0.01,500,10,100,30,11,0.645,0.791,0.399
"gbdt",0.01,500,10,100,30,11,0.643,0.778,0.399
"dart",0.1,125,10,100,30,48,0.49,0.833,0.263
"gbdt",0.1,125,10,100,30,26,0.474,0.845,0.236
"dart",0.01,125,10,100,30,11,0.647,0.78,0.399
"gbdt",0.01,125,10,100,30,11,0.64,0.787,0.399
