"id","date","year","month","day","tmin","tmax","daily_GDD","AGDD","lat","long","alt"
"CA001108395",2022-01-01,2022,1,1,0,4.9,4.9,4.9,49.2237,-123.1636,24
"CA001108395",2022-01-02,2022,1,2,-5.2,2,0,4.9,49.2237,-123.1636,24
"CA001108395",2022-01-03,2022,1,3,0.5,5,5.25,10.15,49.2237,-123.1636,24
"CA001108395",2022-01-04,2022,1,4,-4.6,4.9,2.6,12.75,49.2237,-123.1636,24
"CA001108395",2022-01-05,2022,1,5,-2.1,4.9,3.85,16.6,49.2237,-123.1636,24
"CA001108395",2022-01-06,2022,1,6,-0.8,5,4.6,21.2,49.2237,-123.1636,24
"CA001108395",2022-01-07,2022,1,7,0,4.3,4.3,25.5,49.2237,-123.1636,24
"CA001108395",2022-01-08,2022,1,8,-2.1,4.6,3.55,29.05,49.2237,-123.1636,24
"CA001108395",2022-01-09,2022,1,9,-1.3,7.6,6.95,36,49.2237,-123.1636,24
"CA001108395",2022-01-10,2022,1,10,-6.8,2,0,36,49.2237,-123.1636,24
"CA001108395",2022-01-11,2022,1,11,-0.4,6.1,5.9,41.9,49.2237,-123.1636,24
"CA001108395",2022-01-12,2022,1,12,3.8,1.5,3.4,45.3,49.2237,-123.1636,24
"CA001108395",2022-01-13,2022,1,13,6,11.5,14.5,59.8,49.2237,-123.1636,24
"CA001108395",2022-01-14,2022,1,14,3.9,11.1,13.05,72.85,49.2237,-123.1636,24
"CA001108395",2022-01-15,2022,1,15,-0.4,7.4,7.2,80.05,49.2237,-123.1636,24
"CA001108395",2022-01-16,2022,1,16,3.3,7,8.65,88.7,49.2237,-123.1636,24
"CA001108395",2022-01-17,2022,1,17,-1.3,8.8,8.15,96.85,49.2237,-123.1636,24
"CA001108395",2022-01-18,2022,1,18,4,7.3,9.3,106.15,49.2237,-123.1636,24
"CA001108395",2022-01-19,2022,1,19,4,8.4,10.4,116.55,49.2237,-123.1636,24
"CA001108395",2022-01-20,2022,1,20,5.8,8,10.9,127.45,49.2237,-123.1636,24
"CA001108395",2022-01-21,2022,1,21,2.5,11.7,12.95,140.4,49.2237,-123.1636,24
"CA001108395",2022-01-22,2022,1,22,1.4,7.6,8.3,148.7,49.2237,-123.1636,24
"CA001108395",2022-01-23,2022,1,23,0,7,7,155.7,49.2237,-123.1636,24
"CA001108395",2022-01-24,2022,1,24,0,4.3,4.3,160,49.2237,-123.1636,24
"CA001108395",2022-01-25,2022,1,25,3.4,8.6,10.3,170.3,49.2237,-123.1636,24
"CA001108395",2022-01-26,2022,1,26,5.9,11.3,14.25,184.55,49.2237,-123.1636,24
"CA001108395",2022-01-27,2022,1,27,0.1,10.9,10.95,195.5,49.2237,-123.1636,24
"CA001108395",2022-01-28,2022,1,28,0,6.8,6.8,202.3,49.2237,-123.1636,24
"CA001108395",2022-01-29,2022,1,29,-2.2,8,6.9,209.2,49.2237,-123.1636,24
"CA001108395",2022-01-30,2022,1,30,-0.2,7,6.9,216.1,49.2237,-123.1636,24
"CA001108395",2022-01-31,2022,1,31,3.7,7.6,9.45,225.55,49.2237,-123.1636,24
"CA001108395",2022-02-01,2022,2,1,-0.4,6.1,5.9,231.45,49.2237,-123.1636,24
"CA001108395",2022-02-02,2022,2,2,-1.8,2,1.1,232.55,49.2237,-123.1636,24
"CA001108395",2022-02-03,2022,2,3,1.8,5.9,6.8,239.35,49.2237,-123.1636,24
"CA001108395",2022-02-04,2022,2,4,3.8,8.6,10.5,249.85,49.2237,-123.1636,24
"CA001108395",2022-02-05,2022,2,5,3.9,7.5,9.45,259.3,49.2237,-123.1636,24
"CA001108395",2022-02-06,2022,2,6,-0.4,7.4,7.2,266.5,49.2237,-123.1636,24
"CA001108395",2022-02-07,2022,2,7,2.9,11.8,13.25,279.75,49.2237,-123.1636,24
"CA001108395",2022-02-08,2022,2,8,2.9,8,9.45,289.2,49.2237,-123.1636,24
"CA001108395",2022-02-09,2022,2,9,5.8,8.7,11.6,300.8,49.2237,-123.1636,24
"CA001108395",2022-02-10,2022,2,10,3.4,6.8,8.5,309.3,49.2237,-123.1636,24
"CA001108395",2022-02-11,2022,2,11,2.2,8,9.1,318.4,49.2237,-123.1636,24
"CA001108395",2022-02-12,2022,2,12,-0.2,7.4,7.3,325.7,49.2237,-123.1636,24
"CA001108395",2022-02-13,2022,2,13,-0.8,9.6,9.2,334.9,49.2237,-123.1636,24
"CA001108395",2022-02-14,2022,2,14,3.3,8.4,10.05,344.95,49.2237,-123.1636,24
"CA001108395",2022-02-15,2022,2,15,3.4,8.8,10.5,355.45,49.2237,-123.1636,24
"CA001108395",2022-02-16,2022,2,16,1.8,9.1,10,365.45,49.2237,-123.1636,24
"CA001108395",2022-02-17,2022,2,17,4.3,9.5,11.65,377.1,49.2237,-123.1636,24
"CA001108395",2022-02-18,2022,2,18,3.5,8.1,9.85,386.95,49.2237,-123.1636,24
"CA001108395",2022-02-19,2022,2,19,3,8.4,9.9,396.85,49.2237,-123.1636,24
"CA001108395",2022-02-20,2022,2,20,3.6,8,9.8,406.65,49.2237,-123.1636,24
"CA001108395",2022-02-21,2022,2,21,-0.8,7.7,7.3,413.95,49.2237,-123.1636,24
"CA001108395",2022-02-22,2022,2,22,-3.2,2.8,1.2,415.15,49.2237,-123.1636,24
"CA001108395",2022-02-23,2022,2,23,-6.8,1.5,0,415.15,49.2237,-123.1636,24
"CA001108395",2022-02-24,2022,2,24,-5.2,4,1.4,416.55,49.2237,-123.1636,24
"CA001108395",2022-02-25,2022,2,25,-4.6,5.4,3.1,419.65,49.2237,-123.1636,24
"CA001108395",2022-02-26,2022,2,26,-3.1,11.2,9.65,429.3,49.2237,-123.1636,24
"CA001108395",2022-02-27,2022,2,27,4.4,10.7,12.9,442.2,49.2237,-123.1636,24
"CA001108395",2022-02-28,2022,2,28,6.4,8.5,11.7,453.9,49.2237,-123.1636,24
"CA001108395",2022-03-01,2022,3,1,7.1,13,16.55,470.45,49.2237,-123.1636,24
"CA001108395",2022-03-02,2022,3,2,5.9,11.4,14.35,484.8,49.2237,-123.1636,24
"CA001108395",2022-03-03,2022,3,3,4.8,9.7,12.1,496.9,49.2237,-123.1636,24
"CA001108395",2022-03-04,2022,3,4,4.5,8.8,11.05,507.95,49.2237,-123.1636,24
"CA001108395",2022-03-05,2022,3,5,3.3,8.9,10.55,518.5,49.2237,-123.1636,24
"CA001108395",2022-03-06,2022,3,6,-0.7,9.7,9.35,527.85,49.2237,-123.1636,24
"CA001108395",2022-03-07,2022,3,7,2.8,9.8,11.2,539.05,49.2237,-123.1636,24
"CA001108395",2022-03-08,2022,3,8,4.1,9.9,11.95,551,49.2237,-123.1636,24
"CA001108395",2022-03-09,2022,3,9,-1.3,7.8,7.15,558.15,49.2237,-123.1636,24
"CA001108395",2022-03-10,2022,3,10,-2.2,6.9,5.8,563.95,49.2237,-123.1636,24
"CA001108395",2022-03-11,2022,3,11,2.2,5.6,6.7,570.65,49.2237,-123.1636,24
"CA001108395",2022-03-12,2022,3,12,3.2,11.2,12.8,583.45,49.2237,-123.1636,24
"CA001108395",2022-03-13,2022,3,13,5.5,11.1,13.85,597.3,49.2237,-123.1636,24
"CA001108395",2022-03-14,2022,3,14,6,8.2,11.2,608.5,49.2237,-123.1636,24
"CA001108395",2022-03-15,2022,3,15,5.5,9.9,12.65,621.15,49.2237,-123.1636,24
"CA001108395",2022-03-16,2022,3,16,1.6,11.3,12.1,633.25,49.2237,-123.1636,24
"CA001108395",2022-03-17,2022,3,17,5.4,7.7,10.4,643.65,49.2237,-123.1636,24
"CA001108395",2022-03-18,2022,3,18,5.6,9.9,12.7,656.35,49.2237,-123.1636,24
"CA001108395",2022-03-19,2022,3,19,5.9,10,12.95,669.3,49.2237,-123.1636,24
"CA001108395",2022-03-20,2022,3,20,1.3,7.4,8.05,677.35,49.2237,-123.1636,24
"CA001108395",2022-03-21,2022,3,21,4.6,8.4,10.7,688.05,49.2237,-123.1636,24
"CA001108395",2022-03-22,2022,3,22,6.9,12.7,16.15,704.2,49.2237,-123.1636,24
"CA001108395",2022-03-23,2022,3,23,5.5,12.3,15.05,719.25,49.2237,-123.1636,24
"CA001108395",2022-03-24,2022,3,24,1.5,9.8,10.55,729.8,49.2237,-123.1636,24
"CA001108395",2022-03-25,2022,3,25,4.8,12.5,14.9,744.7,49.2237,-123.1636,24
"CA001108395",2022-03-26,2022,3,26,7.2,12.6,16.2,760.9,49.2237,-123.1636,24
"CA001108395",2022-03-27,2022,3,27,7.8,12.1,16,776.9,49.2237,-123.1636,24
"CA001108395",2022-03-28,2022,3,28,5.4,11.2,13.9,790.8,49.2237,-123.1636,24
"CA001108395",2022-03-29,2022,3,29,4.2,15.1,17.2,808,49.2237,-123.1636,24
"CA001108395",2022-03-30,2022,3,30,5.7,12.1,14.95,822.95,49.2237,-123.1636,24
"CA001108395",2022-03-31,2022,3,31,5.9,10.6,13.55,836.5,49.2237,-123.1636,24
"CA001108395",2022-04-01,2022,4,1,5.6,9.4,12.2,848.7,49.2237,-123.1636,24
"CA001108395",2022-04-02,2022,4,2,4.3,12,14.15,862.85,49.2237,-123.1636,24
"CA001108395",2022-04-03,2022,4,3,6,9.2,12.2,875.05,49.2237,-123.1636,24
"CA001108395",2022-04-04,2022,4,4,6,9.7,12.7,887.75,49.2237,-123.1636,24
"CA001108395",2022-04-05,2022,4,5,5.4,11.3,14,901.75,49.2237,-123.1636,24
"CA001108395",2022-04-06,2022,4,6,2.4,10.6,11.8,913.55,49.2237,-123.1636,24
"CA001108395",2022-04-07,2022,4,7,5.9,13.3,16.25,929.8,49.2237,-123.1636,24
"CA001108395",2022-04-08,2022,4,8,6.8,11.8,15.2,945,49.2237,-123.1636,24
"CA001108395",2022-04-09,2022,4,9,5.3,9.5,12.15,957.15,49.2237,-123.1636,24
"CA001108395",2022-04-10,2022,4,10,2.7,9.2,10.55,967.7,49.2237,-123.1636,24
"CA001108395",2022-04-11,2022,4,11,1,13.2,13.7,981.4,49.2237,-123.1636,24
"CA001108395",2022-04-12,2022,4,12,2.5,8,9.25,990.65,49.2237,-123.1636,24
"CA001108395",2022-04-13,2022,4,13,0.1,9.7,9.75,1000.4,49.2237,-123.1636,24
"CA001108395",2022-04-14,2022,4,14,-1.7,10.9,10.05,1010.45,49.2237,-123.1636,24
"CA001108395",2022-04-15,2022,4,15,2.5,8.8,10.05,1020.5,49.2237,-123.1636,24
"CA001108395",2022-04-16,2022,4,16,-1.2,10.9,10.3,1030.8,49.2237,-123.1636,24
"CA001108395",2022-04-17,2022,4,17,2.9,12.6,14.05,1044.85,49.2237,-123.1636,24
"CA001108395",2022-04-18,2022,4,18,5.5,11.8,14.55,1059.4,49.2237,-123.1636,24
"CA001108395",2022-04-19,2022,4,19,5.7,11.1,13.95,1073.35,49.2237,-123.1636,24
"CA001108395",2022-04-20,2022,4,20,2.4,14.1,15.3,1088.65,49.2237,-123.1636,24
"CA001108395",2022-04-21,2022,4,21,5.8,12.7,15.6,1104.25,49.2237,-123.1636,24
"CA001108395",2022-04-22,2022,4,22,5.8,13.1,16,1120.25,49.2237,-123.1636,24
"CA001108395",2022-04-23,2022,4,23,3.8,15.1,17,1137.25,49.2237,-123.1636,24
"CA001108395",2022-04-24,2022,4,24,5.2,16.9,19.5,1156.75,49.2237,-123.1636,24
"CA001108395",2022-04-25,2022,4,25,7.5,13.6,17.35,1174.1,49.2237,-123.1636,24
"CA001108395",2022-04-26,2022,4,26,3.9,11.8,13.75,1187.85,49.2237,-123.1636,24
"CA001108395",2022-04-27,2022,4,27,3.7,11.6,13.45,1201.3,49.2237,-123.1636,24
"CA001108395",2022-04-28,2022,4,28,2.9,12,13.45,1214.75,49.2237,-123.1636,24
"CA001108395",2022-04-29,2022,4,29,6.5,15.3,18.55,1233.3,49.2237,-123.1636,24
"CA001108395",2022-04-30,2022,4,30,8.2,14.2,18.3,1251.6,49.2237,-123.1636,24
