"boostings","learning_rates","max_bins","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"dart",1,255,10,-1,3,0.438,0.884,0.191
"gbdt",1,255,10,-1,2,0.36,0.913,0.159
"dart",0.1,255,10,-1,125,0.364,0.906,0.175
"gbdt",0.1,255,10,-1,24,0.366,0.912,0.164
"dart",0.01,255,10,-1,990,0.382,0.901,0.175
"gbdt",0.01,255,10,-1,6,0.649,0.866,0.408
"dart",1,25,10,-1,3,0.403,0.905,0.184
"gbdt",1,25,10,-1,2,0.399,0.898,0.17
"dart",0.1,25,10,-1,190,0.355,0.91,0.175
"gbdt",0.1,25,10,-1,11,0.423,0.906,0.192
"dart",0.01,25,10,-1,990,0.371,0.911,0.18
"gbdt",0.01,25,10,-1,6,0.647,0.907,0.408
"dart",1,15,10,-1,2,0.401,0.88,0.18
"gbdt",1,15,10,-1,2,0.399,0.895,0.177
"dart",0.1,15,10,-1,75,0.368,0.91,0.186
"gbdt",0.1,15,10,-1,14,0.402,0.913,0.183
"dart",0.01,15,10,-1,990,0.371,0.91,0.169
"gbdt",0.01,15,10,-1,6,0.653,0.89,0.408
"dart",1,20,10,-1,2,0.406,0.889,0.18
"gbdt",1,20,10,-1,2,0.379,0.901,0.17
"dart",0.1,20,10,-1,102,0.36,0.909,0.166
"gbdt",0.1,20,10,-1,31,0.359,0.906,0.17
"dart",0.01,20,10,-1,990,0.361,0.916,0.153
"gbdt",0.01,20,10,-1,6,0.653,0.887,0.408
"dart",1,255,15,-1,1,0.436,0.864,0.18
"gbdt",1,255,15,-1,1,0.429,0.867,0.18
"dart",0.1,255,15,-1,81,0.37,0.905,0.17
"gbdt",0.1,255,15,-1,20,0.378,0.906,0.186
"dart",0.01,255,15,-1,990,0.369,0.911,0.184
"gbdt",0.01,255,15,-1,6,0.645,0.89,0.408
"dart",1,25,15,-1,1,0.414,0.899,0.17
"gbdt",1,25,15,-1,1,0.431,0.878,0.173
"dart",0.1,25,15,-1,87,0.361,0.91,0.166
"gbdt",0.1,25,15,-1,14,0.395,0.907,0.175
"dart",0.01,25,15,-1,996,0.351,0.922,0.152
"gbdt",0.01,25,15,-1,6,0.648,0.891,0.408
"dart",1,15,15,-1,2,0.42,0.891,0.184
"gbdt",1,15,15,-1,1,0.437,0.853,0.18
"dart",0.1,15,15,-1,77,0.364,0.909,0.166
"gbdt",0.1,15,15,-1,12,0.401,0.913,0.18
"dart",0.01,15,15,-1,999,0.367,0.912,0.17
"gbdt",0.01,15,15,-1,6,0.645,0.885,0.408
"dart",1,20,15,-1,1,0.408,0.874,0.166
"gbdt",1,20,15,-1,2,0.408,0.888,0.173
"dart",0.1,20,15,-1,168,0.358,0.912,0.164
"gbdt",0.1,20,15,-1,23,0.361,0.91,0.158
"dart",0.01,20,15,-1,990,0.364,0.908,0.169
"gbdt",0.01,20,15,-1,6,0.647,0.869,0.408
"dart",1,255,20,-1,1,0.436,0.864,0.188
"gbdt",1,255,20,-1,1,0.446,0.876,0.19
"dart",0.1,255,20,-1,93,0.368,0.91,0.167
"gbdt",0.1,255,20,-1,9,0.429,0.902,0.166
"dart",0.01,255,20,-1,877,0.386,0.898,0.18
"gbdt",0.01,255,20,-1,6,0.65,0.867,0.408
"dart",1,25,20,-1,1,0.417,0.893,0.173
"gbdt",1,25,20,-1,1,0.428,0.867,0.18
"dart",0.1,25,20,-1,75,0.374,0.913,0.178
"gbdt",0.1,25,20,-1,21,0.37,0.907,0.167
"dart",0.01,25,20,-1,937,0.394,0.904,0.195
"gbdt",0.01,25,20,-1,6,0.647,0.86,0.408
"dart",1,15,20,-1,1,0.441,0.864,0.186
"gbdt",1,15,20,-1,1,0.444,0.872,0.186
"dart",0.1,15,20,-1,57,0.367,0.905,0.151
"gbdt",0.1,15,20,-1,24,0.362,0.909,0.156
"dart",0.01,15,20,-1,999,0.384,0.896,0.181
"gbdt",0.01,15,20,-1,6,0.645,0.884,0.408
"dart",1,20,20,-1,1,0.456,0.849,0.197
"gbdt",1,20,20,-1,1,0.445,0.851,0.181
"dart",0.1,20,20,-1,47,0.362,0.91,0.158
"gbdt",0.1,20,20,-1,17,0.399,0.898,0.173
"dart",0.01,20,20,-1,999,0.371,0.907,0.172
"gbdt",0.01,20,20,-1,6,0.646,0.857,0.408
"dart",1,255,10,10,2,0.449,0.872,0.195
"gbdt",1,255,10,10,2,0.434,0.877,0.189
"dart",0.1,255,10,10,168,0.361,0.909,0.178
"gbdt",0.1,255,10,10,12,0.425,0.901,0.172
"dart",0.01,255,10,10,999,0.373,0.908,0.175
"gbdt",0.01,255,10,10,6,0.65,0.878,0.408
"dart",1,25,10,10,2,0.411,0.892,0.184
"gbdt",1,25,10,10,1,0.422,0.875,0.178
"dart",0.1,25,10,10,135,0.361,0.908,0.161
"gbdt",0.1,25,10,10,19,0.382,0.909,0.18
"dart",0.01,25,10,10,999,0.383,0.901,0.177
"gbdt",0.01,25,10,10,6,0.65,0.879,0.408
"dart",1,15,10,10,2,0.405,0.885,0.181
"gbdt",1,15,10,10,2,0.389,0.89,0.18
"dart",0.1,15,10,10,101,0.351,0.915,0.162
"gbdt",0.1,15,10,10,11,0.425,0.911,0.186
"dart",0.01,15,10,10,990,0.376,0.904,0.192
"gbdt",0.01,15,10,10,6,0.648,0.88,0.408
"dart",1,20,10,10,2,0.372,0.908,0.169
"gbdt",1,20,10,10,1,0.44,0.865,0.191
"dart",0.1,20,10,10,135,0.352,0.91,0.159
"gbdt",0.1,20,10,10,11,0.423,0.904,0.185
"dart",0.01,20,10,10,990,0.364,0.913,0.167
"gbdt",0.01,20,10,10,6,0.648,0.877,0.408
"dart",1,255,15,10,1,0.425,0.881,0.177
"gbdt",1,255,15,10,1,0.435,0.877,0.181
"dart",0.1,255,15,10,58,0.385,0.899,0.178
"gbdt",0.1,255,15,10,12,0.408,0.917,0.173
"dart",0.01,255,15,10,990,0.374,0.904,0.175
"gbdt",0.01,255,15,10,6,0.645,0.872,0.408
"dart",1,25,15,10,1,0.402,0.887,0.166
"gbdt",1,25,15,10,1,0.42,0.878,0.173
"dart",0.1,25,15,10,187,0.347,0.917,0.153
"gbdt",0.1,25,15,10,21,0.381,0.907,0.184
"dart",0.01,25,15,10,990,0.371,0.904,0.166
"gbdt",0.01,25,15,10,6,0.645,0.888,0.408
"dart",1,15,15,10,1,0.443,0.874,0.183
"gbdt",1,15,15,10,1,0.407,0.889,0.172
"dart",0.1,15,15,10,129,0.366,0.907,0.167
"gbdt",0.1,15,15,10,17,0.379,0.912,0.161
"dart",0.01,15,15,10,999,0.363,0.911,0.17
"gbdt",0.01,15,15,10,6,0.647,0.88,0.408
"dart",1,20,15,10,1,0.395,0.894,0.153
"gbdt",1,20,15,10,1,0.431,0.875,0.186
"dart",0.1,20,15,10,161,0.369,0.901,0.169
"gbdt",0.1,20,15,10,13,0.395,0.917,0.163
"dart",0.01,20,15,10,990,0.377,0.901,0.172
"gbdt",0.01,20,15,10,6,0.646,0.877,0.408
"dart",1,255,20,10,1,0.453,0.86,0.192
"gbdt",1,255,20,10,1,0.459,0.847,0.191
"dart",0.1,255,20,10,91,0.385,0.897,0.169
"gbdt",0.1,255,20,10,21,0.376,0.902,0.183
"dart",0.01,255,20,10,902,0.36,0.916,0.159
"gbdt",0.01,255,20,10,6,0.646,0.853,0.408
"dart",1,25,20,10,1,0.405,0.888,0.162
"gbdt",1,25,20,10,1,0.435,0.87,0.173
"dart",0.1,25,20,10,83,0.367,0.907,0.167
"gbdt",0.1,25,20,10,14,0.384,0.913,0.163
"dart",0.01,25,20,10,996,0.375,0.907,0.184
"gbdt",0.01,25,20,10,6,0.646,0.875,0.408
"dart",1,15,20,10,1,0.444,0.868,0.195
"gbdt",1,15,20,10,1,0.436,0.847,0.178
"dart",0.1,15,20,10,90,0.377,0.903,0.164
"gbdt",0.1,15,20,10,13,0.4,0.905,0.188
"dart",0.01,15,20,10,999,0.376,0.902,0.173
"gbdt",0.01,15,20,10,6,0.65,0.875,0.408
"dart",1,20,20,10,1,0.467,0.854,0.198
"gbdt",1,20,20,10,1,0.438,0.852,0.178
"dart",0.1,20,20,10,75,0.356,0.91,0.153
"gbdt",0.1,20,20,10,21,0.369,0.905,0.156
"dart",0.01,20,20,10,996,0.364,0.91,0.169
"gbdt",0.01,20,20,10,6,0.645,0.88,0.408
