"id","date","year","month","day","tmin","tmax","city","lat","long","alt","daily_GDD","AGDD"
"CA001108395",2023-01-01,2023,1,1,2.2,7.8,"Vancouver",49.2237,"–123.1636",24,8.9,8.9
"CA001108395",2023-01-02,2023,1,2,-0.2,5,"Vancouver",49.2237,"–123.1636",24,4.9,13.8
"CA001108395",2023-01-03,2023,1,3,0.2,5.6,"Vancouver",49.2237,"–123.1636",24,5.7,19.5
"CA001108395",2023-01-04,2023,1,4,2.6,8.4,"Vancouver",49.2237,"–123.1636",24,9.7,29.2
"CA001108395",2023-01-05,2023,1,5,5.2,12.2,"Vancouver",49.2237,"–123.1636",24,14.8,44
"CA001108395",2023-01-06,2023,1,6,6,10.7,"Vancouver",49.2237,"–123.1636",24,13.7,57.7
"CA001108395",2023-01-07,2023,1,7,7,9.3,"Vancouver",49.2237,"–123.1636",24,12.8,70.5
"CA001108395",2023-01-08,2023,1,8,1.7,8.3,"Vancouver",49.2237,"–123.1636",24,9.15,79.65
"CA001108395",2023-01-09,2023,1,9,3.8,9.8,"Vancouver",49.2237,"–123.1636",24,11.7,91.35
"CA001108395",2023-01-10,2023,1,10,1.9,10.6,"Vancouver",49.2237,"–123.1636",24,11.55,102.9
"CA001108395",2023-01-11,2023,1,11,0.8,12.1,"Vancouver",49.2237,"–123.1636",24,12.5,115.4
"CA001108395",2023-01-12,2023,1,12,7.1,10.7,"Vancouver",49.2237,"–123.1636",24,14.25,129.65
"CA001108395",2023-01-13,2023,1,13,9.2,11.2,"Vancouver",49.2237,"–123.1636",24,15.8,145.45
"CA001108395",2023-01-14,2023,1,14,5.9,13.8,"Vancouver",49.2237,"–123.1636",24,16.75,162.2
"CA001108395",2023-01-15,2023,1,15,4.4,9.3,"Vancouver",49.2237,"–123.1636",24,11.5,173.7
"CA001108395",2023-01-16,2023,1,16,6.4,8.2,"Vancouver",49.2237,"–123.1636",24,11.4,185.1
"CA001108395",2023-01-17,2023,1,17,6.2,7.7,"Vancouver",49.2237,"–123.1636",24,10.8,195.9
"CA001108395",2023-01-18,2023,1,18,4.5,8.3,"Vancouver",49.2237,"–123.1636",24,10.55,206.45
"CA001108395",2023-01-19,2023,1,19,-0.4,8.2,"Vancouver",49.2237,"–123.1636",24,8,214.45
"CA001108395",2023-01-20,2023,1,20,1.6,7.2,"Vancouver",49.2237,"–123.1636",24,8,222.45
"CA001108395",2023-01-21,2023,1,21,1.3,4.9,"Vancouver",49.2237,"–123.1636",24,5.55,228
"CA001108395",2023-01-22,2023,1,22,3,6.1,"Vancouver",49.2237,"–123.1636",24,7.6,235.6
"CA001108395",2023-01-23,2023,1,23,2.7,6.1,"Vancouver",49.2237,"–123.1636",24,7.45,243.05
"CA001108395",2023-01-24,2023,1,24,4.6,6.1,"Vancouver",49.2237,"–123.1636",24,8.4,251.45
"CA001108395",2023-01-25,2023,1,25,5.3,7.2,"Vancouver",49.2237,"–123.1636",24,9.85,261.3
"CA001108395",2023-01-26,2023,1,26,4.8,6.1,"Vancouver",49.2237,"–123.1636",24,8.5,269.8
"CA001108395",2023-01-27,2023,1,27,3.1,8.4,"Vancouver",49.2237,"–123.1636",24,9.95,279.75
"CA001108395",2023-01-28,2023,1,28,0.2,7.7,"Vancouver",49.2237,"–123.1636",24,7.8,287.55
"CA001108395",2023-01-29,2023,1,29,-4.6,3,"Vancouver",49.2237,"–123.1636",24,0.7,288.25
"CA001108395",2023-01-30,2023,1,30,-5.9,1.6,"Vancouver",49.2237,"–123.1636",24,0,288.25
"CA001108395",2023-01-31,2023,1,31,-1.2,1.8,"Vancouver",49.2237,"–123.1636",24,1.2,289.45
"CA001108395",2023-02-01,2023,2,1,0.2,5.9,"Vancouver",49.2237,"–123.1636",24,6,295.45
"CA001108395",2023-02-02,2023,2,2,0,8,"Vancouver",49.2237,"–123.1636",24,8,303.45
"CA001108395",2023-02-03,2023,2,3,2.5,9.2,"Vancouver",49.2237,"–123.1636",24,10.45,313.9
"CA001108395",2023-02-04,2023,2,4,7.2,9.6,"Vancouver",49.2237,"–123.1636",24,13.2,327.1
"CA001108395",2023-02-05,2023,2,5,5,8.6,"Vancouver",49.2237,"–123.1636",24,11.1,338.2
"CA001108395",2023-02-06,2023,2,6,5.4,8.4,"Vancouver",49.2237,"–123.1636",24,11.1,349.3
"CA001108395",2023-02-07,2023,2,7,5.2,10.8,"Vancouver",49.2237,"–123.1636",24,13.4,362.7
"CA001108395",2023-02-08,2023,2,8,0.2,7.5,"Vancouver",49.2237,"–123.1636",24,7.6,370.3
"CA001108395",2023-02-09,2023,2,9,5.1,8.4,"Vancouver",49.2237,"–123.1636",24,10.95,381.25
"CA001108395",2023-02-10,2023,2,10,3.6,10.5,"Vancouver",49.2237,"–123.1636",24,12.3,393.55
"CA001108395",2023-02-11,2023,2,11,1.1,7.8,"Vancouver",49.2237,"–123.1636",24,8.35,401.9
"CA001108395",2023-02-12,2023,2,12,4.1,6.6,"Vancouver",49.2237,"–123.1636",24,8.65,410.55
"CA001108395",2023-02-13,2023,2,13,1.2,8.3,"Vancouver",49.2237,"–123.1636",24,8.9,419.45
"CA001108395",2023-02-14,2023,2,14,0.5,6.4,"Vancouver",49.2237,"–123.1636",24,6.65,426.1
"CA001108395",2023-02-15,2023,2,15,-1.4,6.4,"Vancouver",49.2237,"–123.1636",24,5.7,431.8
"CA001108395",2023-02-16,2023,2,16,2.3,6.2,"Vancouver",49.2237,"–123.1636",24,7.35,439.15
"CA001108395",2023-02-17,2023,2,17,7,10.7,"Vancouver",49.2237,"–123.1636",24,14.2,453.35
"CA001108395",2023-02-18,2023,2,18,2.3,7.8,"Vancouver",49.2237,"–123.1636",24,8.95,462.3
"CA001108395",2023-02-19,2023,2,19,5.4,8.4,"Vancouver",49.2237,"–123.1636",24,11.1,473.4
"CA001108395",2023-02-20,2023,2,20,-4.6,4.9,"Vancouver",49.2237,"–123.1636",24,2.6,476
"CA001108395",2023-02-21,2023,2,21,6,6.4,"Vancouver",49.2237,"–123.1636",24,9.4,485.4
"CA001108395",2023-02-22,2023,2,22,3,6.4,"Vancouver",49.2237,"–123.1636",24,7.9,493.3
"CA001108395",2023-02-23,2023,2,23,5.3,7.8,"Vancouver",49.2237,"–123.1636",24,10.45,503.75
"CA001108395",2023-02-24,2023,2,24,3,6.4,"Vancouver",49.2237,"–123.1636",24,7.9,511.65
"CA001108395",2023-02-25,2023,2,25,0.2,1.6,"Vancouver",49.2237,"–123.1636",24,1.7,513.35
"CA001108395",2023-02-26,2023,2,26,-5.9,1.6,"Vancouver",49.2237,"–123.1636",24,0,513.35
"CA001108395",2023-02-27,2023,2,27,3,6.4,"Vancouver",49.2237,"–123.1636",24,7.9,521.25
"CA001108395",2023-02-28,2023,2,28,0.2,6.4,"Vancouver",49.2237,"–123.1636",24,6.5,527.75
"CA001108395",2023-03-01,2023,3,1,0,5,"Vancouver",49.2237,"–123.1636",24,5,532.75
"CA001108395",2023-03-02,2023,3,2,2,5,"Vancouver",49.2237,"–123.1636",24,6,538.75
"CA001108395",2023-03-03,2023,3,3,1,6,"Vancouver",49.2237,"–123.1636",24,6.5,545.25
"CA001108395",2023-03-04,2023,3,4,1,5,"Vancouver",49.2237,"–123.1636",24,5.5,550.75
"CA001108395",2023-03-05,2023,3,5,2,6,"Vancouver",49.2237,"–123.1636",24,7,557.75
"CA001108395",2023-03-06,2023,3,6,1,5,"Vancouver",49.2237,"–123.1636",24,5.5,563.25
"CA001108395",2023-03-07,2023,3,7,1,5,"Vancouver",49.2237,"–123.1636",24,5.5,568.75
"CA001108395",2023-03-08,2023,3,8,2,6,"Vancouver",49.2237,"–123.1636",24,7,575.75
"CA001108395",2023-03-09,2023,3,9,1,8,"Vancouver",49.2237,"–123.1636",24,8.5,584.25
"CA001108395",2023-03-10,2023,3,10,1,9,"Vancouver",49.2237,"–123.1636",24,9.5,593.75
"CA001108395",2023-03-11,2023,3,11,2,9,"Vancouver",49.2237,"–123.1636",24,10,603.75
"CA001108395",2023-03-12,2023,3,12,3,9,"Vancouver",49.2237,"–123.1636",24,10.5,614.25
"CA001108395",2023-03-13,2023,3,13,4,9,"Vancouver",49.2237,"–123.1636",24,11,625.25
"CA001108395",2023-03-14,2023,3,14,3,9,"Vancouver",49.2237,"–123.1636",24,10.5,635.75
"CA001108395",2023-03-15,2023,3,15,2,9,"Vancouver",49.2237,"–123.1636",24,10,645.75
"CA001108395",2023-03-16,2023,3,16,1,8,"Vancouver",49.2237,"–123.1636",24,8.5,654.25
"CA001108395",2023-03-17,2023,3,17,2,8,"Vancouver",49.2237,"–123.1636",24,9,663.25
"CA001108395",2023-03-18,2023,3,18,3,9,"Vancouver",49.2237,"–123.1636",24,10.5,673.75
"CA001108395",2023-03-19,2023,3,19,4,10,"Vancouver",49.2237,"–123.1636",24,12,685.75
"CA001108395",2023-03-20,2023,3,20,4,10,"Vancouver",49.2237,"–123.1636",24,12,697.75
"CA001108395",2023-03-21,2023,3,21,4,10,"Vancouver",49.2237,"–123.1636",24,12,709.75
"CA001108395",2023-03-22,2023,3,22,2,10,"Vancouver",49.2237,"–123.1636",24,11,720.75
"CA001108395",2023-03-23,2023,3,23,4,10,"Vancouver",49.2237,"–123.1636",24,12,732.75
"CA001108395",2023-03-24,2023,3,24,4,10,"Vancouver",49.2237,"–123.1636",24,12,744.75
"CA001108395",2023-03-25,2023,3,25,4,10,"Vancouver",49.2237,"–123.1636",24,12,756.75
"CA001108395",2023-03-26,2023,3,26,3,10,"Vancouver",49.2237,"–123.1636",24,11.5,768.25
"CA001108395",2023-03-27,2023,3,27,1,10,"Vancouver",49.2237,"–123.1636",24,10.5,778.75
"CA001108395",2023-03-28,2023,3,28,1,10,"Vancouver",49.2237,"–123.1636",24,10.5,789.25
"CA001108395",2023-03-29,2023,3,29,4,9,"Vancouver",49.2237,"–123.1636",24,11,800.25
"CA001108395",2023-03-30,2023,3,30,5,9,"Vancouver",49.2237,"–123.1636",24,11.5,811.75
"CA001108395",2023-03-31,2023,3,31,5,10,"Vancouver",49.2237,"–123.1636",24,12.5,824.25
"CA001108395",2023-04-01,2023,4,1,2,10,"Vancouver",49.2237,"–123.1636",24,11,835.25
"CA001108395",2023-04-02,2023,4,2,6,10,"Vancouver",49.2237,"–123.1636",24,13,848.25
"CA001108395",2023-04-03,2023,4,3,5,12,"Vancouver",49.2237,"–123.1636",24,14.5,862.75
"CA001108395",2023-04-04,2023,4,4,3,13,"Vancouver",49.2237,"–123.1636",24,14.5,877.25
"CA001108395",2023-04-05,2023,4,5,3,11,"Vancouver",49.2237,"–123.1636",24,12.5,889.75
"CA001108395",2023-04-06,2023,4,6,4,11,"Vancouver",49.2237,"–123.1636",24,13,902.75
"CA001108395",2023-04-07,2023,4,7,3,12,"Vancouver",49.2237,"–123.1636",24,13.5,916.25
"CA001108395",2023-04-08,2023,4,8,3,11,"Vancouver",49.2237,"–123.1636",24,12.5,928.75
"CA001108395",2023-04-09,2023,4,9,4,12,"Vancouver",49.2237,"–123.1636",24,14,942.75
"CA001108395",2023-04-10,2023,4,10,5,11,"Vancouver",49.2237,"–123.1636",24,13.5,956.25
"CA001108395",2023-04-11,2023,4,11,4,12,"Vancouver",49.2237,"–123.1636",24,14,970.25
"CA001108395",2023-04-12,2023,4,12,5,13,"Vancouver",49.2237,"–123.1636",24,15.5,985.75
"CA001108395",2023-04-13,2023,4,13,6,13,"Vancouver",49.2237,"–123.1636",24,16,1001.75
"CA001108395",2023-04-14,2023,4,14,7,13,"Vancouver",49.2237,"–123.1636",24,16.5,1018.25
"CA001108395",2023-04-15,2023,4,15,8,13,"Vancouver",49.2237,"–123.1636",24,17,1035.25
"CA001108395",2023-04-16,2023,4,16,9,13,"Vancouver",49.2237,"–123.1636",24,17.5,1052.75
"CA001108395",2023-04-17,2023,4,17,8,14,"Vancouver",49.2237,"–123.1636",24,18,1070.75
"CA001108395",2023-04-18,2023,4,18,7,16,"Vancouver",49.2237,"–123.1636",24,19.5,1090.25
"CA001108395",2023-04-19,2023,4,19,8,16,"Vancouver",49.2237,"–123.1636",24,20,1110.25
"CA001108395",2023-04-20,2023,4,20,8,16,"Vancouver",49.2237,"–123.1636",24,20,1130.25
"CA001108395",2023-04-21,2023,4,21,8,16,"Vancouver",49.2237,"–123.1636",24,20,1150.25
"CA001108395",2023-04-22,2023,4,22,8,16,"Vancouver",49.2237,"–123.1636",24,20,1170.25
"CA001108395",2023-04-23,2023,4,23,9,17,"Vancouver",49.2237,"–123.1636",24,21.5,1191.75
"CA001108395",2023-04-24,2023,4,24,9,17,"Vancouver",49.2237,"–123.1636",24,21.5,1213.25
"CA001108395",2023-04-25,2023,4,25,8,17,"Vancouver",49.2237,"–123.1636",24,21,1234.25
"CA001108395",2023-04-26,2023,4,26,8,18,"Vancouver",49.2237,"–123.1636",24,22,1256.25
"CA001108395",2023-04-27,2023,4,27,9,18,"Vancouver",49.2237,"–123.1636",24,22.5,1278.75
"CA001108395",2023-04-28,2023,4,28,9,17,"Vancouver",49.2237,"–123.1636",24,21.5,1300.25
"CA001108395",2023-04-29,2023,4,29,9,18,"Vancouver",49.2237,"–123.1636",24,22.5,1322.75
"CA001108395",2023-04-30,2023,4,30,10,18,"Vancouver",49.2237,"–123.1636",24,23,1345.75
